"timestamp","date","year","doy","hr","doy_h","precip.cm","lag.precip","water.depth"
2013-05-15,2013-05-15,2013,135,0,135,0,NA,26.518104
2013-05-15 01:00:00,2013-05-15,2013,135,1,135.01,0,0,26.569089
2013-05-15 02:00:00,2013-05-15,2013,135,2,135.02,0,0,26.273376
2013-05-15 03:00:00,2013-05-15,2013,135,3,135.03,0,0,26.456922
2013-05-15 04:00:00,2013-05-15,2013,135,4,135.04,0,0,26.283573
2013-05-15 05:00:00,2013-05-15,2013,135,5,135.05,0,0,26.467119
2013-05-15 06:00:00,2013-05-15,2013,135,6,135.06,0,0,26.334558
2013-05-15 07:00:00,2013-05-15,2013,135,7,135.07,0,0,26.079633
2013-05-15 08:00:00,2013-05-15,2013,135,8,135.08,0,0,26.1918
2013-05-15 09:00:00,2013-05-15,2013,135,9,135.09,0,0,26.212194
2013-05-15 10:00:00,2013-05-15,2013,135,10,135.1,0,0,26.385543
2013-05-15 11:00:00,2013-05-15,2013,135,11,135.11,0,0,26.467119
2013-05-15 12:00:00,2013-05-15,2013,135,12,135.12,0,0,26.385543
2013-05-15 13:00:00,2013-05-15,2013,135,13,135.13,0,0,26.732241
2013-05-15 14:00:00,2013-05-15,2013,135,14,135.14,0,0,26.80362
2013-05-15 15:00:00,2013-05-15,2013,135,15,135.15,0,0,26.569089
2013-05-15 16:00:00,2013-05-15,2013,135,16,135.16,0,0,26.936181
2013-05-15 17:00:00,2013-05-15,2013,135,17,135.17,0,0,26.834211
2013-05-15 18:00:00,2013-05-15,2013,135,18,135.18,0,0,26.874999
2013-05-15 19:00:00,2013-05-15,2013,135,19,135.19,0,0,26.650665
2013-05-15 20:00:00,2013-05-15,2013,135,20,135.2,0.1778,0,27.170712
2013-05-15 21:00:00,2013-05-15,2013,135,21,135.21,0.127,0.1778,27.242091
2013-05-15 22:00:00,2013-05-15,2013,135,22,135.22,0.2794,0.127,27.323667
2013-05-15 23:00:00,2013-05-15,2013,135,23,135.23,0.1778,0.2794,27.670365
2013-05-16,2013-05-16,2013,136,0,136,0.0254,0.1778,27.976275
2013-05-16 01:00:00,2013-05-16,2013,136,1,136.01,0,0.0254,28.190412
2013-05-16 02:00:00,2013-05-16,2013,136,2,136.02,0,0,28.057851
2013-05-16 03:00:00,2013-05-16,2013,136,3,136.03,0,0,28.037457
2013-05-16 04:00:00,2013-05-16,2013,136,4,136.04,0,0,28.119033
2013-05-16 05:00:00,2013-05-16,2013,136,5,136.05,0,0,28.241397
2013-05-16 06:00:00,2013-05-16,2013,136,6,136.06,0,0,28.465731
2013-05-16 07:00:00,2013-05-16,2013,136,7,136.07,0,0,28.180215
2013-05-16 08:00:00,2013-05-16,2013,136,8,136.08,0,0,28.475928
2013-05-16 09:00:00,2013-05-16,2013,136,9,136.09,0,0,29.036763
2013-05-16 10:00:00,2013-05-16,2013,136,10,136.1,0,0,28.649277
2013-05-16 11:00:00,2013-05-16,2013,136,11,136.11,0,0,28.84302
2013-05-16 12:00:00,2013-05-16,2013,136,12,136.12,0,0,29.067354
2013-05-16 13:00:00,2013-05-16,2013,136,13,136.13,0,0,28.94499
2013-05-16 14:00:00,2013-05-16,2013,136,14,136.14,0,0,29.128536
2013-05-16 15:00:00,2013-05-16,2013,136,15,136.15,0,0,28.965384
2013-05-16 16:00:00,2013-05-16,2013,136,16,136.16,0,0,29.006172
2013-05-16 17:00:00,2013-05-16,2013,136,17,136.17,0,0,29.220309
2013-05-16 18:00:00,2013-05-16,2013,136,18,136.18,0,0,29.006172
2013-05-16 19:00:00,2013-05-16,2013,136,19,136.19,0,0,28.455534
2013-05-16 20:00:00,2013-05-16,2013,136,20,136.2,0,0,28.822626
