year,stat,gilmore.meadow,great.meadow.1,great.meadow.2,great.meadow.3,great.meadow.4,great.meadow.5,great.meadow.6
2016,WL_mean,21.66079260357143,-22.01077380952381,-2.9457142857142857,-49.33551652277463,-14.799434523809524,6.742738095238095,-25.845565476190476
2016,WL_sd,11.140208665687865,5.344699638602863,4.255444240260136,16.25411106543042,9.024786894068841,4.073682145058824,4.021535283100567
2016,WL_min,1.564715,-30.8,-10.6,-82.3,-31.9,-1.6,-32.9
2016,WL_max,39.95642,-9.3,9.4,-9.6,6.7,17.3,-16
2016,max_inc,1.2542300000000033,2.900000000000002,5.1,8.100000000000001,2.4,2.9,2
2016,max_dec,-1.1318699999999993,-3.5999999999999996,-1.4000000000000004,-1.7000000000000028,-4.8,-4.300000000000001,-1.9000000000000021
2016,prop_GS_comp,100,100,100,99.9702380952381,100,100,100
2016,GS_change,-28.70819469722222,-10.534305555555555,-5.734861111111111,-37.45803701128111,-18.09708333333333,-2.3001388888888887,-7.346250000000001
2016,prop_over_0cm,100,0,20.416666666666668,0,5.654761904761905,99.55357142857143,0
2016,prop_bet_0_neg30cm,0,99.40476190476191,80.05952380952381,8.335814230425722,91.66666666666666,0.625,80.11904761904762
2016,prop_under_neg30cm,0,0.5952380952380952,0,91.66418576957427,2.797619047619048,0,19.88095238095238
2017,WL_mean,3.5551928035714284,-45.46630952380952,2.5520535714285715,-49.05086309523809,-15.795863095238095,6.782827380952381,-28.67243227150938
2017,WL_sd,5.751091910315041,9.221061461026316,7.6299207681963646,20.826173772236068,14.629563763238352,6.517011406457006,6.753463524270895
2017,WL_min,-8.9833176,-59,-13.4,-81.3,-43,-3,-39.4
2017,WL_max,30.2343444,-23.5,37.4,1.6,16.2,31,-11.9
2017,max_inc,2.416689,4.700000000000003,4,6.5,4.299999999999997,4.4,4.399999999999999
2017,max_dec,-2.5084619999999997,-3,-3,-3.1000000000000014,-3.1000000000000014,-3.4000000000000004,-2.900000000000002
2017,prop_GS_comp,100,100,100,100,100,100,99.9702380952381
2017,GS_change,-10.140265025,-13.618472222222223,-9.067222222222222,-37.22805555555555,-21.975694444444443,-7.895833333333334,-9.185138888888893
2017,prop_over_0cm,69.46428571428571,0,58.69047619047619,0.4464285714285714,19.732142857142858,88.95833333333333,0
2017,prop_bet_0_neg30cm,30.53571428571429,5.119047619047619,41.726190476190474,23.779761904761905,61.30952380952381,11.93452380952381,48.85382554331647
2017,prop_under_neg30cm,0,94.88095238095238,0,75.77380952380952,19.166666666666668,0,51.14617445668353
2018,WL_mean,-6.991576220467262,-24.174732142857142,-0.4755654761904762,-60.61235119047619,1.2732440476190476,12.93404761904762,-26.767321428571428
2018,WL_sd,9.09088628267991,8.352266678330544,3.3338361996909094,23.689485368127496,9.656030430753164,4.447453953261701,4.779239984523553
2018,WL_min,-31.29768562,-39.6,-10.2,-110,-20.9,6,-38.3
2018,WL_max,17.18904938,18.6,11,-20.1,24.7,36.9,-13.3
2018,max_inc,8.198388,23.6,3.2,15.700000000000003,41.3,5.1000000000000005,3.299999999999999
2018,max_dec,-1.4989590000000002,-2.8000000000000007,-2.9,-2.8000000000000007,-2.8999999999999986,-6,-2.8000000000000007
2018,prop_GS_comp,100,100,100,100,100,100,100
2018,GS_change,-11.914727138183332,0.9258333333333333,-4.249444444444444,-18.27361111111111,-6.076250000000001,7.031666666666666,-1.7558333333333351
2018,prop_over_0cm,28.601190476190474,0.5952380952380952,41.48809523809524,0,59.017857142857146,100,0
2018,prop_bet_0_neg30cm,70.26785714285714,68.39285714285714,59.61309523809524,7.142857142857142,41.42857142857143,0,71.8452380952381
2018,prop_under_neg30cm,1.130952380952381,31.011904761904763,0,92.85714285714286,0,0,28.154761904761905
2019,WL_mean,-5.615957724137931,-18.115098272781417,4.89946380697051,-27.678475736826435,4.80401905328967,5.463222156045265,-20.812686122692078
2019,WL_sd,6.198568699340079,11.54820574196158,9.412945955430148,20.168444132165003,12.122715005372484,5.435792190658808,7.7646725544749575
2019,WL_min,-20.046464,-38.2,-7.2,-63.3,-12.5,-3,-32.8
2019,WL_max,35.384428,29.5,40.1,10.8,35.4,42.9,16.6
2019,max_inc,18.721692,14.799999999999999,25.4,6.1,14.3,6.099999999999998,25.9
2019,max_dec,-3.5179649999999967,-2.9,-3.5,-3.3,-2.099999999999998,-4.1,-3.4000000000000004
2019,prop_GS_comp,99.13707268503154,99.94047619047619,99.91071428571429,99.9702380952381,99.9702380952381,99.94047619047619,99.94047619047619
2019,GS_change,-7.2855015750000005,-20.88736111111111,-20.681527777777777,-40.59625,-23.386388888888888,-8.405555555555555,-15.332638888888889
2019,prop_over_0cm,11.44961499832608,3.0673019654556284,62.257968424188256,10.241143197380174,52.33700506103007,92.82310899344847,1.1316259678379987
2019,prop_bet_0_neg30cm,88.55038500167393,76.92078618225135,38.09949359547215,41.17296814528134,48.34772253646919,8.308516974389518,88.80285884455033
2019,prop_under_neg30cm,0,20.07147111375819,0,48.79428401309914,0,0,10.095294818344252
2020,WL_mean,3.206265703571359,-21.091607142857143,1.6304166666666666,-60.68946428571429,-1.969970238095238,13.102589285714286,-21.690535714285716
2020,WL_sd,6.853187709558451,12.205614198316724,9.489959461427512,21.864902982768548,8.711103740092476,8.957774775534903,8.660453057867374
2020,WL_min,-14.4059320000001,-41.2,-9.3,-96,-17.2,3.6,-32.7
2020,WL_max,24.81173,28.8,47.7,-2.3,38.7,62.9,20.4
2020,max_inc,12.54231000000007,1.1999999999999993,1.1999999999999957,12.599999999999998,18.1,5.6,8.5
2020,max_dec,-1.5907320000001022,-7.100000000000001,-8.300000000000004,-9.200000000000001,-5.5,-10.399999999999999,-4.599999999999998
2020,prop_GS_comp,100,100,100,100,100,100,100
2020,GS_change,-8.0863201375,-9.579722222222221,-8.797361111111112,-34.41458333333333,-4.633333333333333,-3.653611111111111,-5.646111111111111
2020,prop_over_0cm,69.67261904761905,3.6309523809523814,55.05952380952381,0,19.761904761904763,100,4.434523809523809
2020,prop_bet_0_neg30cm,30.32738095238095,74.25595238095238,45.56547619047619,6.5773809523809526,81.63690476190476,0,83.125
2020,prop_under_neg30cm,0,22.113095238095237,0,93.42261904761905,0,0,12.470238095238095
2021,WL_mean,3.917204380470449,8.31532738095238,17.689821428571427,-32.443133750372354,24.999077380952382,43.92764880952381,-4.972321428571429
2021,WL_sd,5.136666012256586,11.416449284785061,11.101789881851714,10.633681536763817,11.137376051969214,12.05792017504597,11.153353157708706
2021,WL_min,-0.841257999999954,-3.1,3.8,-53.8,8.9,28.4,-17
2021,WL_max,109.877768,61.6,68.7,-2.1,76.5,94.4,48
2021,max_inc,73.3776119999998,28.599999999999998,18.099999999999998,18.3,15.9,14.700000000000003,33.6
2021,max_dec,-16.774065000000007,-2.1000000000000014,-2.4000000000000057,-1,-2,-5.799999999999997,-2.3000000000000007
2021,prop_GS_comp,99.9702380952381,100,100,99.91071428571429,100,100,100
2021,GS_change,2.054129,12.989444444444446,13.814722222222224,13.485694444444444,12.677916666666668,14.7975,12.54861111111111
2021,prop_over_0cm,96.39773742185173,83.03571428571429,100,0,100,100,14.880952380952381
2021,prop_bet_0_neg30cm,3.6022625781482582,17.32142857142857,0,35.62704795948764,0,0,85.20833333333333
2021,prop_under_neg30cm,0,0,0,64.37295204051236,0,0,0
2022,WL_mean,-4.80685761339282,-0.40940476190476194,17.050892857142856,-36.06375,16.216785714285713,31.553988095238097,-13.220595238095239
2022,WL_sd,8.517328791812236,8.52945412193518,7.880395316403175,17.692633438369743,8.876833671432687,8.964777202730073,7.146571528456827
2022,WL_min,-30.7830079999999,-16.8,3.3,-76.5,1.3,13.5,-27.7
2022,WL_max,39.31117,36.4,48.7,4.3,48.5,67.4,20.7
2022,max_inc,20.302226999999903,5.199999999999999,22.3,9.700000000000003,10.599999999999998,2.8999999999999986,13.7
2022,max_dec,-3.334418999999798,-1.1000000000000014,-2,-1.0999999999999996,-2.3999999999999986,-1.2999999999999972,-1
2022,prop_GS_comp,100,100,100,100,100,100,100
2022,GS_change,-3.732611850000003,8.741944444444444,11.179722222222225,7.90013888888889,7.063055555555557,8.573611111111113,6.7766666666666655
2022,prop_over_0cm,36.339285714285715,46.398809523809526,100,0.5952380952380952,100,100,2.619047619047619
2022,prop_bet_0_neg30cm,63.125,54.13690476190476,0,42.20238095238095,0,0,97.41071428571428
2022,prop_under_neg30cm,0.5357142857142857,0,0,57.20238095238095,0,0,0
2023,WL_mean,-1.341307872321532,14.172104793093183,27.07391304347826,-14.237142857142857,28.52934523809524,40.60911256700417,1.995267857142857
2023,WL_sd,4.528976663570455,12.887644033611398,12.031251317964514,10.273081746266522,11.953794722355852,16.248976972498916,12.17091412213161
2023,WL_min,-9.77197200000008,-3.4,9.2,-34.5,9.5,1.3,-16.4
2023,WL_max,45.8628599999999,61.6,74.4,12.3,74.1,89.7,48.9
2023,max_inc,27.297369000000003,8.5,9.900000000000002,15.4,5.199999999999996,9.5,10.3
2023,max_dec,-6.332336999999896,-1.6000000000000014,-3.099999999999998,-1.2999999999999998,-1.5999999999999979,-5.300000000000001,-2
2023,prop_GS_comp,100,99.9702380952381,99.94047619047619,100,100,99.94047619047619,100
2023,GS_change,3.893752774999999,12.845416666666665,12.013888888888886,12.877083333333333,15.34,3.862222222222222,14.464166666666667
2023,prop_over_0cm,19.761904761904763,93.06341172968146,100,9.672619047619047,100,100,51.101190476190474
2023,prop_bet_0_neg30cm,80.23809523809524,7.085442095861863,0,87.32142857142857,0,0,49.73214285714286
2023,prop_under_neg30cm,0,0,0,3.214285714285714,0,0,0
2024,WL_mean,28.09700103214286,-2.964215540339387,-5.5592316855271,-45.88339285714286,-6.329205120571599,-1.6501339684429888,-34.86382852039297
2024,WL_sd,5.0295844621736885,1.4625337519406019,2.1739424697324634,14.788643057348118,6.316586336581663,7.434083922317545,4.40555429267849
2024,WL_min,12.354399,-5.6,-10.6,-79.8,-18,-13.9,-44.6
2024,WL_max,39.672162,10.1,0.9,-16.9,11.3,24,-26.6
2024,max_inc,4.823181000000002,3.5,1.5,8.5,15.799999999999999,10.299999999999999,0.8999999999999986
2024,max_dec,-0.938124000000002,-1.1000000000000005,-0.7000000000000002,-0.7999999999999972,-0.8000000000000003,-0.8000000000000007,-1
2024,prop_GS_comp,100,99.9702380952381,99.94047619047619,100,99.9702380952381,99.9702380952381,99.9702380952381
2024,GS_change,-8.236825025000009,-1.5774999999999997,-1.0865277777777775,-34.77222222222222,-6.951805555555556,15.149444444444445,1.7029166666666669
2024,prop_over_0cm,100,2.0541827924977674,0.14889815366289458,0,22.268532301280143,40.964572789520695,0
2024,prop_bet_0_neg30cm,0,98.03512950282823,99.85110184633712,14.970238095238095,78.1780291753498,59.273593331348614,17.89222983030664
2024,prop_under_neg30cm,0,0,0,85.0297619047619,0,0,82.10777016969337
2025,WL_mean,6.372145649999995,-13.166875,-10.858244047619047,-55.351309523809526,-9.61330357142857,-4.594196428571428,-38.67821428571428
2025,WL_sd,11.206369589270068,8.662947402127145,16.57383519261388,29.969887905648473,18.75688854570909,6.188485231321022,16.021159398200638
2025,WL_min,-15.793923,-27,-36.3,-107.9,-39.1,-17.7,-61.8
2025,WL_max,22.444827,4.1,9.7,0.8,24.4,10.2,-16.9
2025,max_inc,4.7212109999999905,3.9,1.1000000000000005,18.299999999999997,6.899999999999999,7.2,0.9000000000000021
2025,max_dec,-1.3969890000000014,-0.8000000000000007,-1,-1.9000000000000057,-0.9000000000000021,-8.799999999999999,-1.0999999999999943
2025,prop_GS_comp,100,100,100,100,100,100,100
2025,GS_change,-27.626958700000007,-12.044583333333334,-37.798611111111114,-67.33291666666668,-43.12138888888889,-11.344722222222222,-33.13486111111111
2025,prop_over_0cm,66.33928571428571,2.1726190476190474,43.92857142857143,0.4761904761904762,44.46428571428571,28.660714285714285,0
2025,prop_bet_0_neg30cm,33.66071428571429,97.85714285714285,30.08928571428571,27.172619047619044,30.714285714285715,72.5,41.30952380952381
2025,prop_under_neg30cm,0,0,26.190476190476193,72.41071428571428,24.94047619047619,0,58.69047619047619
